"p_wt_14"	"c_gen"	"c_bo"	"c_gt_14"	"c_wt_14"	"p_viq"	"p_inc"	"p_educ"	"c_ppvt_30"	"c_ppvt_42"	"p_wt_30"	"c_wt_22"	"c_wt_26"	"c_mlu_22"	"c_mlu_26"	"p_wt_26"	"c_ppvt_54"	"c_wt_46"	"c_cps_48"	"c_mc_ons"	"p_cps_14"	"p_cps_30"	"p_mlu_26"	"c_gaps_sr"	"c_ppvt_74"	"c_celf_rs"
384.99	"1"	"1"	30.9	29.57	42.63	81.15	17.26	31.53	72.41	497.52	186.43	260.93	1.57	2.29	461.94	129.76	297.91	1.19	24.15	1.08	1.14	3.74	13.69	130.37	17.17
695.92	"0"	"1"	31.03	-3.28	72.78	39.84	21.38	44.71	69.64	485.4	137.57	275.77	1.38	2.63	459.97	159.38	440.36	1.12	21.99	1.13	1.32	4.18	13.12	146.99	16.03
422.59	"0"	"1"	11.67	17.42	64.18	76.04	14.17	19.98	52.38	548.63	84.31	130.61	1.18	1.38	636.55	102.9	398.02	1.12	31.83	1.12	1.16	4.41	7.14	101.54	10.36
210.71	"1"	"0"	28.92	9.24	50.11	39.09	15.71	20.96	36.93	158.59	116.31	153.79	1.57	2.17	246.09	80.73	278.57	1.04	27.32	1.16	1.16	3.77	NA	96.01	NA
498.08	"1"	"0"	22.58	-0.46	70.48	78.45	16.85	55.94	65.44	434.37	171.42	296.51	1.66	2.38	439.49	132.6	529.48	1.09	20.32	1.1	1.17	3.6	11.5	124.03	11.95
450.08	"1"	"0"	22.71	16.87	50.65	5.8	11.88	NA	48.03	499.17	133.56	217.09	1.6	2.02	377.26	109.28	240.57	1.09	25.85	1.12	1.11	4.02	3.65	103.74	NA
538.57	"0"	"1"	23.61	26.33	53.91	48.57	14.4	30.83	44.75	541.42	166.94	189.99	1.8	2.43	385.51	111.08	577.46	1.09	23.89	1.09	1.15	3.44	9.64	116.02	14.19
594.68	"1"	"0"	17.55	31.15	47.78	34.07	14.83	NA	61.04	NA	161.25	186.43	1.46	1.9	438.27	113.8	328.37	1.15	30.1	1.13	NA	4.03	8.35	114.44	9.41
510.3	"0"	"1"	22.38	6.35	72.31	74.68	15.8	39.51	61.65	548.92	146.84	291.14	1.43	2.38	633.36	134.05	342.42	1.19	22.76	1.06	1.22	4.7	10.73	125.65	13.86
413.68	"1"	"0"	19.49	7.76	51.91	54.42	15.77	45.63	58.07	488.78	118.62	217.58	1.57	1.92	641.13	95.08	185.7	1.17	28.7	1.12	1.17	4.53	NA	102.91	NA
447.96	"1"	"1"	23.37	17.75	67.49	87.62	17.63	NA	74.66	543.63	213.49	327.79	1.58	2.35	640.98	129.41	440.23	1.28	22.81	1.08	1.21	4.6	11.99	128.63	17.63
419.37	"0"	"1"	32.7	25.21	72.03	99.88	15.38	30.66	75.28	628.97	187.89	374.24	1.5	2.21	535.82	130.94	368.89	1.13	26.21	1.04	1.13	3.39	12.56	122.78	14.17
570.69	"0"	"0"	17.3	-17.38	68.16	79.02	20.28	35.91	70.9	459.01	-6.63	108.96	0.84	1.33	524.6	124.39	344.33	1.09	31.06	1.21	1.22	3.36	6.11	118.67	10.76
245.13	"1"	"0"	25.62	-13.4	52.29	40.25	15.37	25.71	25.76	436.11	59.87	124.23	1.42	1.97	595.37	85.72	78.4	1.11	32.68	1.07	1.1	3.76	6.88	94.2	9.35
629.68	"1"	"0"	-1.98	-0.9	86.86	91.79	18.35	26.62	52.95	605.81	43.01	149.84	1.44	1.58	564.52	102.73	364.85	1.12	25.63	1.15	1.24	4.05	10.65	108.93	12.06
286.7	"0"	"1"	39.52	38.41	38.69	101.88	16.3	30.33	66.05	660.13	110.28	120.06	1.08	0.94	349.27	130	177.38	1.08	35.08	1.02	1.07	3.73	8.35	124.43	NA
179.12	"1"	"0"	10.86	17.07	47.11	29.69	12.6	21.5	31.22	430.7	62.5	103.76	1.48	1.71	570.22	89	178.61	1.14	31.32	1.09	1.2	4.23	7.92	91.97	9.68
346.39	"0"	"1"	28.04	21.25	65.24	74.59	16.22	38.65	67.13	499.57	120.16	133.12	1.45	1.33	428.88	132.9	296.21	1.13	34.05	1.04	1.07	4.21	5.91	122.53	11.57
304.72	"1"	"0"	18.6	7.44	NA	91.09	15.77	NA	NA	NA	50.07	83.96	1.36	1.16	522.81	NA	NA	NA	32.65	1.12	NA	3.43	NA	NA	NA
247.66	"1"	"0"	31.38	22.95	53.42	83.05	18.61	31.36	68.03	413.7	126.96	258.19	1.09	2.02	519.75	131.7	415.45	1.18	26.1	1.09	1.16	4.19	12.83	122.74	11.45
275.1	"1"	"1"	10.47	-6.29	68.96	26.65	13.57	13.65	37.5	439.7	79.5	228.74	1.04	1.25	538.13	83.81	187.14	1.09	37.71	1.14	1.18	3.93	5.01	83.34	5.4
523.71	"0"	"0"	21.48	13.18	71.36	83.52	18.87	40.22	65.33	542.48	NA	112.38	NA	1.41	477.67	139.86	343.94	1.09	27.66	1.08	1.24	4.38	8.24	130.1	11.79
464.7	"1"	"0"	23.07	7.78	NA	77.55	15.47	45.46	52.92	663.58	85.35	150.1	2.03	2.09	630.55	117.44	388.86	1.08	26.55	1.08	1.07	4.01	10.5	118.89	12.55
543.78	"0"	"1"	16.61	15.22	43.97	47.34	13.17	33.49	34.66	561.94	161.15	NA	1.06	NA	NA	99.27	343.76	1.1	27.4	1.1	1.12	NA	7.09	106.63	7.56
270.15	"0"	"1"	11.38	-13.53	NA	30.85	15.35	15.84	47.87	347.67	89.84	180.6	1.21	1.63	457.55	110.75	299.94	1.15	32.13	1.12	1.19	3.77	6.35	103.26	5.9
521.09	"1"	"1"	7.28	-11.95	67.96	95.45	16.27	31.31	61.98	482.4	73.83	152.62	1.24	1.25	667.53	113.44	473.97	1.23	32.26	1.18	1.21	3.94	6.12	105.24	10.92
556.41	"0"	"1"	30.37	17.2	80.08	53.14	18.03	38.14	66.62	265.75	53.15	164.28	1.31	1.32	313.57	127.9	408.9	1.02	28.97	1.09	1.07	4.28	7.71	121.11	11.03
211.01	"0"	"1"	23.81	29.59	75.33	54.65	16.72	9.19	60.74	233.84	52.18	129.83	1.29	1.15	440.22	125.49	175.83	1.14	34.25	1.1	1.13	4.83	9.98	108.99	11.89
451.75	"1"	"0"	9.31	-3.73	58.75	106.03	15.85	14.43	24.72	496.05	NA	14.05	NA	1.26	428.27	78.55	297.76	1.04	31.62	1.13	1.1	3.89	5.9	88.26	6.24
402.41	"0"	"0"	-12.82	-2.52	41.7	71.92	15.69	32.66	49.51	718.95	-60.01	20.79	1.15	1.01	466.19	111.13	262.25	1.1	32.73	1.08	1.02	2.73	7.47	106.59	8.52
529.86	"0"	"1"	18.26	37.85	NA	103.16	16.27	26.22	76.38	510.79	128.16	222.6	1.62	2.2	453.41	NA	530.26	1.18	26.69	1.1	1.11	3.51	9.37	122.95	13.11
332.04	"1"	"1"	11.02	14.57	NA	28.23	13	10.87	NA	489.72	127.67	184.09	1.68	2.07	567.72	NA	NA	NA	31.58	1.08	1.22	4.01	NA	NA	NA
362.79	"0"	"1"	33.97	20.78	53.2	57.6	14.91	31.35	41.4	399.79	207.37	314.79	1.14	2.52	554.29	121.2	304.05	1.17	27.99	1.08	1.18	4.8	4.55	113.4	10.04
269.85	"1"	"0"	18.01	2.75	51.12	120.55	15.36	29.82	56.65	385.18	144.86	219	1.45	2.21	352.87	102.94	302.96	1.16	25.36	1.13	1.19	3.75	8.95	106.78	12.36
363.6	"1"	"1"	28.61	21.84	52.35	41.18	17.56	51.61	81.87	427.1	152.66	232.14	1.75	2.23	567.55	118.38	409.07	1.15	26.59	1.09	1.21	3.81	13.33	123.62	17.46
532.18	"0"	"0"	21.35	19.56	57.95	15.5	13.23	28.32	56.88	529.72	105.04	161.14	0.82	0.88	272.85	105.11	146.53	1.01	34.9	1.12	1.12	3.78	4.51	99.31	7
310.54	"0"	"0"	38.29	16.58	77.79	79.48	16.58	51.02	78.04	409.23	152.28	298.4	1.42	2.25	499.63	135.37	395.72	1.16	22.32	1.1	1.23	4.26	11.19	123.43	15.88
459.11	"0"	"0"	27.97	8.82	66.53	51.36	16.05	22.88	34.09	543.49	96	NA	1.18	NA	NA	103.83	384.71	1.06	32.54	1.13	1.18	NA	3.64	102.43	6.79
364.3	"1"	"0"	23.52	25.76	44.11	39.82	13.05	15.75	34.56	518.86	127.45	152.06	1.15	1.91	294.31	85.7	161.33	1.18	29.29	1.12	1.2	3.69	5.81	95.3	9.17
418.62	"0"	"1"	23.66	7.4	48.57	-16.44	13.44	23.68	39.39	390.08	41.06	57.08	0.76	1.36	335.51	92.79	216.42	1.12	36.46	1.14	1.18	4.24	3.16	97.51	8.97
202.03	"0"	"1"	32.99	29.18	65.48	100.78	17.86	27.87	71.14	483.09	86.39	161.18	1.27	1.56	594.46	116.66	296.31	1.12	33.38	1.04	1.13	4.73	11.03	115.91	13.41
366.78	"1"	"0"	21.5	28.08	NA	49.19	14.94	NA	NA	NA	168.7	212.18	1.51	1.99	469.05	NA	NA	NA	30.55	1.13	NA	4.79	NA	NA	NA
368.55	"0"	"1"	18.04	12.97	53.83	70.93	12.8	28.02	54.72	568.81	152.12	174.59	1.29	1.8	383.39	125.04	434.21	1.14	28.45	1.08	1.21	3.74	8.51	118.78	12.08
361.77	"1"	"1"	31.1	26.33	NA	69.94	16.28	39.96	NA	394.84	163.25	268.05	1.18	2.15	363.55	NA	NA	NA	27.77	1.06	1.17	4.82	NA	NA	NA
420.83	"0"	"1"	13.25	14.11	NA	61.4	13.06	18.34	46.03	398.68	31.48	NA	1.12	NA	NA	NA	300.92	1.12	32.62	1.12	1.11	NA	6.69	100.34	NA
601.74	"0"	"1"	21.06	13.01	55.32	96.81	14.99	52.71	55.77	686.78	232.22	318	1.67	2.78	581.68	112.06	401.88	1.15	20.87	1.04	1.16	4	10.6	120.14	12.52
362.82	"0"	"1"	22.97	10.32	NA	60.52	17.17	18.07	44.58	274.77	61.92	117.73	1.08	1.45	289.18	NA	NA	NA	30.4	1.13	1.12	3.62	NA	106.67	NA
26.69	"1"	"1"	15.53	10.06	49.47	28.69	15.61	19.7	60.09	246.67	58.8	133.79	1.55	1.89	437.8	83.24	232.72	1.23	34.44	1.15	1.13	3.84	6.61	93.53	12.6
